Class,EMG0_mean,EMG1_mean,EMG2_mean,EMG3_mean,EMG4_mean,EMG5_mean,EMG6_mean,EMG7_mean,Accl0_mean,Accl1_mean,Accl2_mean,Gyr0_mean,Gyr1_mean,Gyr2_mean,Orien0_mean,Orien1_mean,Orien2_mean,EMG0_min,EMG1_min,EMG2_min,EMG3_min,EMG4_min,EMG5_min,EMG6_min,EMG7_min,Accl0_min,Accl1_min,Accl2_min,Gyr0_min,Gyr1_min,Gyr2_min,Orien0_min,Orien1_min,Orien2_min,EMG0_max,EMG1_max,EMG2_max,EMG3_max,EMG4_max,EMG5_max,EMG6_max,EMG7_max,Accl0_max,Accl1_max,Accl2_max,Gyr0_max,Gyr1_max,Gyr2_max,Orien0_max,Orien1_max,Orien2_max,EMG0_stdev,EMG1_stdev,EMG2_stdev,EMG3_stdev,EMG4_stdev,EMG5_stdev,EMG6_stdev,EMG7_stdev,Accl0_stdev,Accl1_stdev,Accl2_stdev,Gyr0_stdev,Gyr1_stdev,Gyr2_stdev,Orien0_stdev,Orien1_stdev,Orien2_stdev,EMG0_energy,EMG1_energy,EMG2_energy,EMG3_energy,EMG4_energy,EMG5_energy,EMG6_energy,EMG7_energy,Accl0_energy,Accl1_energy,Accl2_energy,Gyr0_energy,Gyr1_energy,Gyr2_energy,Orien0_energy,Orien1_energy,Orien2_energy
c,2.980392156862745,1.7450980392156863,2.9215686274509802,1.8235294117647058,0.6666666666666666,1.7450980392156863,13.27450980392157,-0.23529411764705882,0.8423233921568626,-0.38688152941176474,0.3592984117647058,0.17279411764705882,-0.9632352941176471,-1.1985294117647058,65.80392156862744,31.647058823529413,88.29411764705883,-42.0,-63.0,-111.0,-17.0,-30.0,-64.0,-58.0,-38.0,0.760742,-0.538574,0.322266,-8.6875,-30.5,-9.375,65.0,31.0,87.0,61.0,69.0,118.0,42.0,39.0,92.0,111.0,42.0,0.8588870000000001,-0.35498,0.441895,18.9375,6.3125,5.4375,66.0,37.0,90.0,20.00049019007127,29.318828856047368,46.91815986896966,10.899001573268889,14.896532034895465,36.83902449156595,37.5196366887381,20.626767303961245,0.022083881806492654,0.03234333247663447,0.02473295584694758,4.003486531982431,6.476280960051797,2.0801406909431983,0.40097919363165213,1.7529806549048375,0.672134440333445,20454.0,43135.0,110501.0,6109.0,11118.0,68011.0,79373.0,21276.0,36.209328437489,7.685847765584004,6.614448738775,802.91796875,2144.4296875,289.609375,220846.0,51232.0,397611.0
c,-4.509803921568627,2.0588235294117645,-4.176470588235294,0.0392156862745098,-1.1568627450980393,-5.745098039215686,-7.431372549019608,-3.9019607843137254,0.8425053137254902,-0.3705766862745099,0.369399137254902,0.7830882352941176,-1.9877450980392157,-2.769607843137255,66.74509803921569,31.333333333333332,86.37254901960785,-70.0,-78.0,-101.0,-31.0,-35.0,-106.0,-116.0,-53.0,0.726074,-0.498047,0.280762,-5.5625,-41.5625,-29.5625,65.0,30.0,86.0,61.0,85.0,92.0,33.0,28.0,98.0,64.0,57.0,0.878906,-0.328125,0.491699,22.3125,9.875,5.0,67.0,40.0,89.0,21.072610231311746,33.533512649113206,46.04159244958972,12.541069785809702,15.707797489170288,45.19860313649303,41.6726552559161,27.209009465219996,0.03481690920084102,0.04308127528311584,0.037480056446606146,4.10651831203257,9.241305200767123,6.777438331931707,0.5601120336112043,2.804757862395016,0.6916873372767639,23240.0,56441.0,106881.0,7864.0,12405.0,103829.0,89647.0,37793.0,36.261186244755,7.096480914921,7.029479584400001,874.44921875,4471.59375,2687.890625,227216.0,50464.0,380495.0
c,-3.588235294117647,-2.411764705882353,-8.588235294117647,-1.5490196078431373,-2.803921568627451,-5.372549019607843,-2.5098039215686274,2.0784313725490198,0.8503849019607843,-0.3518114509803922,0.3747605882352941,1.3272058823529411,-2.0980392156862746,-2.6348039215686274,67.66666666666667,31.11764705882353,86.17647058823529,-71.0,-91.0,-110.0,-30.0,-34.0,-85.0,-94.0,-47.0,0.746582,-0.5117189999999999,0.30761700000000003,-10.8125,-40.5,-35.1875,66.0,30.0,86.0,31.0,96.0,106.0,24.0,39.0,108.0,99.0,53.0,0.8837889999999999,-0.20849600000000001,0.484863,30.0625,3.8125,4.5,68.0,40.0,88.0,20.09893178314533,39.993087638034766,41.485504201148736,11.107319614542828,14.93321078381088,45.405709237633864,40.537080580140255,21.691328347756762,0.02665605508641884,0.05364461713921115,0.028809283272012504,5.249368834609043,7.831309905017894,7.140688566992985,0.739369100427294,2.8117400934192265,0.43386091563731305,20855.0,80269.0,89814.0,6291.0,11551.0,104556.0,82484.0,23746.0,36.91640581926399,6.456223396487998,7.204219163350001,1467.62890625,3290.9609375,2903.5234375,233545.0,49779.0,378755.0
c,-3.235294117647059,-1.1372549019607843,-3.823529411764706,-0.21568627450980393,-2.0980392156862746,-10.372549019607844,-4.294117647058823,-3.9215686274509802,0.8360044509803924,-0.37688611764705887,0.3875709019607843,1.2303921568627452,-2.9938725490196076,-1.9019607843137254,67.17647058823529,32.450980392156865,86.94117647058823,-67.0,-128.0,-106.0,-21.0,-31.0,-110.0,-90.0,-81.0,0.718262,-0.6914060000000001,0.316895,-6.8125,-63.5625,-32.0,66.0,31.0,85.0,52.0,91.0,97.0,25.0,19.0,62.0,74.0,38.0,0.8745120000000001,-0.3125,0.527832,22.5625,12.75,3.5,68.0,40.0,88.0,25.11460788887146,37.066437437575864,45.53754753271323,9.269981068999432,10.969512116700148,37.142945916722184,34.23582574885383,21.59707678113397,0.025773049320027108,0.052726549686338144,0.03605524225366119,4.401535424501006,11.6788019431974,5.8435094188707675,0.47773977657051686,2.247787583293371,0.46526399843024,32071.0,68762.0,104429.0,4299.0,6241.0,74467.0,59545.0,24106.0,35.67728804857301,7.383204881520001,7.72577043108,1045.8828125,7276.84765625,1891.8203125,230158.0,53959.0,385508.0
c,1.0980392156862746,0.9607843137254902,-6.686274509803922,-1.6666666666666667,-3.450980392156863,-4.705882352941177,-9.72549019607843,-1.803921568627451,0.8342907450980392,-0.3885474117647058,0.3758425686274511,1.545343137254902,-3.823529411764706,-2.4926470588235294,66.47058823529412,32.27450980392157,88.70588235294117,-48.0,-63.0,-85.0,-26.0,-30.0,-118.0,-83.0,-44.0,0.718262,-0.602539,0.338379,-3.5625,-53.3125,-29.0625,66.0,31.0,86.0,73.0,55.0,83.0,39.0,37.0,106.0,94.0,86.0,0.85498,-0.35449200000000003,0.513672,20.9375,7.125,3.4375,67.0,42.0,89.0,22.404691385476198,24.89735791951726,32.50999243068409,12.491063472205504,13.656227481248537,43.58407696287581,35.47228689068273,25.24996602599151,0.037084991322012296,0.046686112367673734,0.041459019406761145,4.746299190411614,11.5029392024003,6.624995837956519,0.5041008302500832,3.2191826998326696,0.8554324671663762,25160.0,31041.0,55125.0,7943.0,9932.0,96108.0,67738.0,32044.0,35.566858244235995,7.8084033050420025,7.290081970524999,1248.16015625,7361.46875,2511.40625,225348.0,53642.0,401342.0
d,-0.9019607843137255,2.8823529411764706,4.372549019607843,-0.19607843137254902,-0.6666666666666666,6.098039215686274,0.1568627450980392,-2.5098039215686274,0.907274411764706,-0.31879974509803927,0.23743874509803922,0.8161764705882353,-2.295343137254902,-1.758578431372549,62.666666666666664,23.215686274509803,96.90196078431373,-54.0,-73.0,-80.0,-14.0,-20.0,-50.0,-78.0,-54.0,0.8496090000000001,-0.48730500000000004,0.166992,-3.75,-41.0,-41.1875,62.0,22.0,94.0,50.0,82.0,87.0,16.0,28.0,107.0,124.0,31.0,0.929199,-0.279785,0.36084,21.5625,3.3125,9.125,64.0,31.0,98.0,23.907534295247416,26.49199657166181,31.809407906664166,6.551395600459912,10.207187010468,39.45440654829865,46.45745259870352,17.022775976931154,0.01923142383202707,0.041131321854685474,0.037277108398502755,4.381662993457539,8.838853135724227,7.394698476863372,0.5887840577551899,2.80224000035826,0.9644667326721924,28620.0,35515.0,51567.0,2148.0,5232.0,79729.0,107916.0,14810.0,41.998982153523016,5.267886433078999,2.9447141818880005,993.921875,4174.96484375,2891.80078125,200300.0,27880.0,478936.0
d,0.6862745098039216,3.196078431372549,4.568627450980392,-0.6470588235294118,-0.4117647058823529,2.4901960784313726,-1.0784313725490196,-0.45098039215686275,0.8882313725490195,-0.3475413333333333,0.26012952941176465,0.44730392156862747,-2.9791666666666665,-2.2058823529411766,62.98039215686274,25.980392156862745,97.84313725490196,-67.0,-45.0,-88.0,-12.0,-21.0,-79.0,-79.0,-20.0,0.804199,-0.457031,0.21337899999999999,-4.8125,-27.875,-24.75,62.0,24.0,95.0,76.0,59.0,122.0,20.0,24.0,91.0,95.0,39.0,0.9057620000000001,-0.322266,0.380859,10.625,2.4375,1.0625,64.0,34.0,99.0,22.173398653412097,23.269739670089255,35.47858785349878,6.47710901378621,8.773087188870827,34.31522842646956,39.36691155640986,13.70447186211887,0.025744857300020744,0.03251690435122426,0.0346483824721172,2.444329296716035,7.416626872552422,5.566112508374436,0.5473644518392243,2.603768008701475,0.7582228965049229,24607.0,27595.0,64001.0,2119.0,3857.0,59193.0,77547.0,9401.0,40.26984341406601,6.212901350559999,3.511061496068,308.94140625,3202.96484375,1797.2421875,202308.0,34763.0,488266.0
d,-0.37254901960784315,-0.058823529411764705,-3.215686274509804,-0.5098039215686274,-3.8627450980392157,-8.27450980392157,-6.235294117647059,-0.803921568627451,0.892491941176471,-0.3368470196078432,0.2667451176470588,0.47671568627450983,-2.6495098039215685,-2.1629901960784315,63.450980392156865,25.235294117647058,97.49019607843137,-48.0,-58.0,-86.0,-13.0,-26.0,-94.0,-74.0,-36.0,0.8110350000000001,-0.5273439999999999,0.227539,-5.625,-38.5625,-28.125,63.0,23.0,95.0,37.0,53.0,63.0,20.0,11.0,93.0,108.0,97.0,0.9189450000000001,-0.280273,0.373535,25.8125,5.125,5.625,65.0,33.0,98.0,17.86500577588905,23.8691531183709,31.130251348481078,7.452174310950078,8.968878654197832,36.39344909808497,36.61671106765004,19.815165513154952,0.023603409754026455,0.041011698414228186,0.035263138265700086,3.861305656452104,8.360398450726017,6.50365376191737,0.6103679378930741,2.9229316467828514,0.9873712375719255,15965.0,28487.0,48982.0,2790.0,4783.0,69716.0,69022.0,19665.0,40.65149116591299,5.870859615893999,3.690975293232999,757.07421875,3852.828125,2353.48046875,205346.0,32905.0,484770.0
d,1.9607843137254901,1.8627450980392157,-5.705882352941177,-0.6078431372549019,0.45098039215686275,6.666666666666667,3.627450980392157,1.1764705882352942,0.8934780784313726,-0.3357843921568627,0.2620346666666666,0.6936274509803921,-2.8198529411764706,-1.3811274509803921,63.294117647058826,24.80392156862745,97.62745098039215,-33.0,-66.0,-105.0,-17.0,-19.0,-85.0,-107.0,-34.0,0.805176,-0.483887,0.23974600000000001,-8.0,-26.8125,-27.75,63.0,24.0,95.0,85.0,56.0,82.0,21.0,23.0,92.0,99.0,30.0,0.909668,-0.29980500000000004,0.39209,10.375,5.125,14.25,65.0,31.0,98.0,23.060755221209668,24.707909347286456,37.341287668020804,8.701904231540471,10.100126188301205,35.58126848029265,45.96301155682196,13.595154846272168,0.019227692932687623,0.029331459020702274,0.03157924374564198,2.7215647757184414,6.7745461916604555,5.8439238597393945,0.6416889479197483,1.9597919057199624,0.870879654458077,26786.0,30701.0,71379.0,3805.0,5111.0,65568.0,106301.0,9312.0,40.731942117284014,5.793325783237999,3.5516329250680005,394.8828125,2700.25390625,1804.85546875,204334.0,31569.0,486125.0
d,3.2941176470588234,-1.7843137254901962,-4.078431372549019,-0.8627450980392157,-0.29411764705882354,-1.0980392156862746,-4.215686274509804,-1.0196078431372548,0.8954120784313725,-0.3196135882352941,0.2788660784313726,0.6274509803921569,-1.829656862745098,-1.0686274509803921,65.13725490196079,24.745098039215687,95.88235294117646,-23.0,-53.0,-82.0,-12.0,-13.0,-65.0,-104.0,-41.0,0.8417969999999999,-0.433594,0.23974600000000001,-1.5625,-24.875,-21.0625,65.0,24.0,94.0,49.0,43.0,70.0,10.0,19.0,82.0,94.0,32.0,0.9287110000000001,-0.27831999999999996,0.35498,10.875,3.875,5.1875,66.0,30.0,97.0,17.133936054096917,20.694263674255424,33.816471215817245,5.403775005838558,8.14688681067083,29.118554155013108,39.34987355786049,12.895720524388594,0.016264125580975012,0.024452775225054898,0.02314747645843334,2.405298863457309,5.590115137893133,4.07847349855695,0.34754037711536473,1.8530314325979695,0.5530663187549718,15232.0,21575.0,58026.0,1498.0,3323.0,42456.0,78327.0,8368.0,40.90312838928599,5.239692045827,3.9928710580039994,309.3515625,1733.19921875,889.9375,216392.0,31400.0,468880.0
