Class,EMG0_mean,EMG1_mean,EMG2_mean,EMG3_mean,EMG4_mean,EMG5_mean,EMG6_mean,EMG7_mean,Accl0_mean,Accl1_mean,Accl2_mean,Gyr0_mean,Gyr1_mean,Gyr2_mean,Orien0_mean,Orien1_mean,Orien2_mean,EMG0_min,EMG1_min,EMG2_min,EMG3_min,EMG4_min,EMG5_min,EMG6_min,EMG7_min,Accl0_min,Accl1_min,Accl2_min,Gyr0_min,Gyr1_min,Gyr2_min,Orien0_min,Orien1_min,Orien2_min,EMG0_max,EMG1_max,EMG2_max,EMG3_max,EMG4_max,EMG5_max,EMG6_max,EMG7_max,Accl0_max,Accl1_max,Accl2_max,Gyr0_max,Gyr1_max,Gyr2_max,Orien0_max,Orien1_max,Orien2_max,EMG0_stdev,EMG1_stdev,EMG2_stdev,EMG3_stdev,EMG4_stdev,EMG5_stdev,EMG6_stdev,EMG7_stdev,Accl0_stdev,Accl1_stdev,Accl2_stdev,Gyr0_stdev,Gyr1_stdev,Gyr2_stdev,Orien0_stdev,Orien1_stdev,Orien2_stdev,EMG0_energy,EMG1_energy,EMG2_energy,EMG3_energy,EMG4_energy,EMG5_energy,EMG6_energy,EMG7_energy,Accl0_energy,Accl1_energy,Accl2_energy,Gyr0_energy,Gyr1_energy,Gyr2_energy,Orien0_energy,Orien1_energy,Orien2_energy
c,0.7450980392156863,-0.11764705882352941,-0.3137254901960784,-0.7647058823529411,-1.2745098039215685,-1.0196078431372548,1.392156862745098,-0.7254901960784313,0.4948395882352939,-0.6637369411764706,0.5963158627450981,0.2610294117647059,0.022058823529411766,-0.8149509803921569,65.96078431372548,60.745098039215684,5.254901960784314,-26.0,-21.0,-50.0,-28.0,-46.0,-53.0,-43.0,-46.0,0.486328,-0.6777340000000001,0.507324,-1.875,-9.5,-21.6875,65.0,60.0,5.0,69.0,28.0,72.0,52.0,21.0,36.0,73.0,36.0,0.53125,-0.641602,0.616211,8.0625,3.875,4.875,66.0,61.0,6.0,18.759363674980985,11.378307534644208,21.84169425303672,15.02210136471475,12.482112691964527,17.269036100580056,25.998521828267506,20.078922711512735,0.007605365112015262,0.007459468175176468,0.014353458409762586,1.807826123861929,1.917714440804623,3.578974206745421,0.1960392117639213,0.4401425793945393,0.4401425793945395,17624.0,6474.0,23858.0,11313.0,7873.0,14964.0,33895.0,20185.0,12.491069201253,22.470665264470007,18.14552410464899,166.88671875,183.90625,674.32421875,221894.0,188198.0,1418.0
c,-0.7843137254901961,-0.058823529411764705,-1.0980392156862746,-1.9803921568627452,-2.1176470588235294,0.3333333333333333,0.5294117647058824,-3.8823529411764706,0.48761107843137264,-0.6625115098039215,0.6079005686274511,0.6666666666666666,-1.1041666666666667,-0.8480392156862745,65.86274509803921,61.11764705882353,3.823529411764706,-42.0,-20.0,-52.0,-24.0,-40.0,-69.0,-49.0,-67.0,0.41845699999999997,-0.7226560000000001,0.5795899999999999,-1.8125,-24.375,-15.25,65.0,59.0,3.0,58.0,20.0,65.0,22.0,14.0,48.0,57.0,74.0,0.5200199999999999,-0.602539,0.644043,11.375,6.125,14.5625,66.0,64.0,4.0,18.767326634862187,9.788588794521674,21.809406137683606,10.335357170564416,10.552055835378297,16.753109164172088,22.69480375872545,25.560631493625923,0.01690722759158714,0.01729004176324922,0.010624562807485133,2.5283908749769415,5.2646769052494236,4.960252244435899,0.34754037711536473,0.9087806957353236,0.38501336875184883,17642.0,4791.0,23844.0,5541.0,5796.0,14039.0,25767.0,33436.0,12.140285471500993,22.39994380896501,18.852342234959,342.3046875,1448.01953125,1266.8828125,221239.0,190545.0,753.0
c,-1.2352941176470589,-2.9607843137254903,-1.803921568627451,-3.0980392156862746,-2.235294117647059,1.9607843137254901,0.0,1.7450980392156863,0.4815027254901962,-0.6633731960784313,0.6115291960784314,0.5379901960784313,-1.0747549019607843,-0.5171568627450981,65.98039215686275,61.15686274509804,2.8627450980392157,-41.0,-33.0,-66.0,-29.0,-43.0,-22.0,-39.0,-55.0,0.39209,-0.743164,0.5874020000000001,-1.8125,-28.0,-20.125,65.0,59.0,1.0,56.0,20.0,69.0,20.0,16.0,87.0,41.0,81.0,0.514648,-0.624512,0.6450199999999999,7.75,9.9375,10.5625,66.0,64.0,3.0,16.934684213523578,10.76839966627117,24.260271727944957,9.30645991118166,10.161866433473955,17.059848515521733,19.500769215597625,26.4513463833166,0.019064656120768013,0.016931183590073805,0.00995674446196065,1.885971170220256,6.030430897848469,4.497952284640419,0.14002800840280116,0.9669032840901488,0.4480896268889637,14417.0,6245.0,29594.0,4820.0,5418.0,14748.0,19014.0,35139.0,11.842261663029001,22.457597109929,19.077322678487004,192.60546875,1877.21484375,1025.21875,222025.0,190795.0,428.0
c,3.980392156862745,-0.5294117647058824,-2.7450980392156863,-1.5098039215686274,-2.4313725490196076,-2.2549019607843137,-0.21568627450980393,0.3333333333333333,0.47715605882352946,-0.6707165490196079,0.6050953137254903,0.18382352941176472,-0.4644607843137255,0.05514705882352941,65.94117647058823,61.294117647058826,2.9607843137254903,-35.0,-37.0,-113.0,-22.0,-69.0,-64.0,-46.0,-35.0,0.38574200000000003,-0.827148,0.579102,-2.0,-14.125,-15.6875,65.0,60.0,2.0,55.0,19.0,53.0,19.0,18.0,41.0,55.0,35.0,0.5117189999999999,-0.6210939999999999,0.630371,6.5625,2.125,19.75,66.0,65.0,3.0,17.899151036938516,10.206572277070244,25.634229566932493,9.003049592265072,12.837842345130719,17.239307569916953,21.36755833078754,17.11451625570138,0.017931701776922077,0.024537124976910983,0.007810978426523008,1.4660433445963643,3.0973843527130067,4.010720926833626,0.2376354103144016,1.02555580339753,0.19603921176392158,16827.0,5223.0,33240.0,4169.0,8542.0,15119.0,22831.0,14651.0,11.627650424503003,22.972998670674,18.676207842519005,109.1875,490.69140625,804.44921875,221763.0,191658.0,449.0
c,-0.5098039215686274,-0.2549019607843137,-1.0196078431372548,-0.45098039215686275,0.0196078431372549,0.5686274509803921,0.8627450980392157,1.6666666666666667,0.47674435294117656,-0.6722387647058822,0.6031900980392159,1.0294117647058822,-1.0588235294117647,-0.5024509803921569,65.84313725490196,61.470588235294116,1.9607843137254901,-44.0,-15.0,-27.0,-17.0,-19.0,-49.0,-59.0,-49.0,0.427734,-0.7246090000000001,0.579102,-1.125,-19.125,-12.25,65.0,61.0,1.0,41.0,26.0,41.0,25.0,20.0,44.0,79.0,63.0,0.506836,-0.640137,0.6264649999999999,11.875,5.3125,6.9375,66.0,64.0,3.0,12.986720215696662,6.947929582990613,13.693049618077676,8.584436441584726,8.230407513795246,17.62300190315008,26.575191143503098,19.806732862000906,0.017642880850726766,0.016301792597856517,0.00931260319836488,2.6302136599635446,4.356629498618776,3.1981430350359594,0.36729002271272404,1.0649495983654913,0.39803438613896075,8446.0,2417.0,9428.0,3695.0,3387.0,15545.0,35350.0,19757.0,11.607107643362005,23.060440217533007,18.560089241917,399.9453125,1006.1875,524.28125,221108.0,192767.0,204.0
d,-1.7058823529411764,-1.1372549019607843,-1.3333333333333333,-0.8431372549019608,1.9607843137254901,0.9803921568627451,-2.450980392156863,-0.9411764705882353,0.5125230000000001,-0.6152247843137255,0.6323816666666667,1.2267156862745099,-1.0428921568627452,-0.6556372549019608,67.62745098039215,59.19607843137255,164.9607843137255,-17.0,-17.0,-35.0,-49.0,-16.0,-41.0,-33.0,-32.0,0.458984,-0.6889649999999999,0.59668,-2.125,-21.375,-12.5625,67.0,58.0,0.0,26.0,24.0,28.0,23.0,26.0,48.0,21.0,17.0,0.5454100000000001,-0.580078,0.6733399999999999,12.9375,4.75,4.75,68.0,62.0,179.0,7.7415608701270555,7.025723045617831,10.962967967966824,10.916725789392366,8.63240588553093,15.48998411371481,11.871501548650357,11.046106580521268,0.017104599496041994,0.017567442134031597,0.01153200904381654,2.948648016048884,4.6066611111668765,3.129705770641117,0.4882943503144591,0.9595750693538717,48.60286443588024,3145.0,2534.0,6100.0,5995.0,3922.0,12046.0,7353.0,6146.0,13.411299468175,19.319009048084002,20.401884550771,511.47265625,1116.53515625,511.67578125,233259.0,178759.0,1505927.0
d,-0.5686274509803921,0.058823529411764705,-1.6274509803921569,-0.5882352941176471,-0.8235294117647058,0.37254901960784315,2.3137254901960786,0.0196078431372549,0.5128293725490196,-0.6142865294117648,0.6329752941176471,0.9387254901960784,-1.0183823529411764,-0.8725490196078431,67.84313725490196,59.21568627450981,178.01960784313727,-13.0,-8.0,-17.0,-27.0,-25.0,-56.0,-23.0,-32.0,0.45019499999999996,-0.659668,0.6137699999999999,-1.625,-16.9375,-10.125,67.0,58.0,178.0,14.0,10.0,13.0,24.0,17.0,50.0,46.0,20.0,0.5454100000000001,-0.5878909999999999,0.656738,9.0,2.75,3.3125,68.0,62.0,179.0,6.744642027449002,3.568819214843377,8.074554561865876,7.510463289540093,8.152805363438873,15.75177549905245,12.128462715576829,9.016629516794913,0.018891887102098392,0.014874002672250607,0.00798308290648199,2.360134073127468,3.9432159725130913,2.9881526688824014,0.36729002271272404,1.006254947619062,0.14002800840280108,2291.0,637.0,3395.0,2838.0,3358.0,12413.0,7628.0,4065.0,13.430537402713997,19.255806748829002,20.436730351764005,323.453125,830.33984375,485.28125,234744.0,178882.0,1616241.0
d,-1.3529411764705883,-1.1568627450980393,-1.5490196078431373,-1.0784313725490196,-1.4313725490196079,-3.4313725490196076,-1.607843137254902,-1.0588235294117647,0.505102980392157,-0.6174842352941177,0.6376952352941179,0.8174019607843137,-0.8284313725490197,-0.49019607843137253,67.90196078431373,59.254901960784316,177.9607843137255,-23.0,-9.0,-34.0,-10.0,-22.0,-33.0,-23.0,-39.0,0.417969,-0.709961,0.6235350000000001,-1.8125,-21.3125,-12.875,67.0,59.0,177.0,24.0,10.0,29.0,17.0,12.0,20.0,24.0,29.0,0.529297,-0.586914,0.674316,10.375,5.6875,10.625,68.0,62.0,178.0,8.785951352953793,3.494982397778895,10.722525309814282,5.003371412377467,6.838873889642313,11.718796699253353,9.84292320679695,10.800762500316136,0.017766529196767942,0.0153671741391685,0.007350848219323358,2.2470064508576906,3.920276679036326,3.198006521379267,0.30032661958503204,0.744127334665297,0.1960392117639213,3953.0,679.0,5871.0,1311.0,2443.0,7467.0,4976.0,5890.0,13.027362538838004,19.457433324726,20.742117617434996,286.52734375,803.4296875,523.6171875,235149.0,179096.0,1615174.0
d,-1.196078431372549,-0.8235294117647058,0.0196078431372549,-0.8627450980392157,-0.9215686274509803,-1.196078431372549,-2.392156862745098,-0.5098039215686274,0.5155675490196078,-0.6110121960784313,0.6327167450980392,0.7340686274509803,-0.9877450980392157,-1.0980392156862746,67.90196078431373,59.11764705882353,177.35294117647058,-12.0,-7.0,-20.0,-9.0,-25.0,-28.0,-23.0,-14.0,0.419922,-0.671875,0.609863,-1.125,-14.3125,-15.9375,67.0,58.0,177.0,9.0,11.0,25.0,26.0,17.0,29.0,11.0,15.0,0.547363,-0.5893550000000001,0.677246,9.5,4.8125,4.6875,68.0,64.0,178.0,4.737170496586067,3.368714190031212,8.043606643983608,5.744630911879847,9.214864377200357,10.936214350209378,7.560630744514772,5.693408641647314,0.020374492470060422,0.012882770750144719,0.010036729459028258,2.2551622425439986,4.231799624713519,3.7219420103531142,0.30032661958503204,1.0516094108276035,0.4826397999239061,1195.0,602.0,3235.0,1688.0,4289.0,6053.0,3150.0,1634.0,13.577060774877,19.048429380695993,20.421891252812,281.76953125,945.1640625,754.1328125,235149.0,178295.0,1604169.0
d,-0.803921568627451,-0.9215686274509803,0.09803921568627451,-1.0392156862745099,-0.17647058823529413,-2.607843137254902,-0.058823529411764705,0.7254901960784313,0.5056296274509803,-0.6153779803921567,0.6387867058823531,0.8725490196078431,-0.9522058823529411,-0.9424019607843137,67.7843137254902,59.705882352941174,176.84313725490196,-10.0,-6.0,-25.0,-14.0,-29.0,-60.0,-20.0,-12.0,0.452637,-0.6777340000000001,0.6235350000000001,-2.0625,-13.5,-10.0,67.0,58.0,176.0,9.0,8.0,24.0,18.0,31.0,20.0,24.0,17.0,0.5424800000000001,-0.577637,0.663574,9.0,5.375,5.6875,68.0,63.0,177.0,4.054723703746717,2.762919740093092,9.036049804999491,5.011829144389203,10.035349286104475,13.673446429298723,9.538158658160143,4.652218530432761,0.024189045977020904,0.021676683406361027,0.008422030556330498,2.3607454061268487,3.9351300057005365,3.075910514009809,0.41539020162714835,1.552985739111067,0.36729002271272404,855.0,425.0,4083.0,1311.0,5037.0,9695.0,4549.0,1109.0,13.067982825231004,19.336686926502995,20.814017766147998,317.484375,820.50390625,518.35546875,234339.0,181925.0,1594955.0
